Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
TraesCS2A02G201800	2A	175467301	175470007	NAM-A2
TraesCS2B02G228900	2B	223153810	223156266	NAM-B2
TraesCS2D02G214100	2D	175330859	175333525	NAM-D2
TraesCS4A02G131000	4A	174155319	174157653	NAP-A
TraesCS4A02G219700	4A	521917748	521920022	NAC-5A
TraesCS4B02G098200	4B	103054108	103056465	NAC-5B
TraesCS4B02G173600	4B	380653174	380655594	NAP-B
TraesCS4D02G094400	4D	69677974	69680281	NAC-5D
TraesCS4D02G175700	4D	304689911	304692359	NAP-D
TraesCS6A02G108300	6A	77097709	77100361	NAM-A1
TraesCS6D02G096300	6D	60486167	60488033	NAM-D1
